Date,DriversKilled,kms,PetrolPrice,law
1981-06-01,105,17559,0.113860643932406,0
1981-07-01,123,18655,0.119118081064489,0
1981-08-01,109,19453,0.124489986005886,0
1981-09-01,130,17923,0.123222945411622,0
1981-10-01,153,17915,0.12067793212866,0
1981-11-01,134,16496,0.121048982651421,0
1981-12-01,99,13544,0.116968571491487,0
1982-01-01,115,13601,0.112750259392875,0
1982-02-01,104,15667,0.108079306704711,0
1982-03-01,131,17358,0.108838515984019,0
1982-04-01,108,18112,0.111291766408542,0
1982-05-01,103,18581,0.111304009176187,0
1982-06-01,115,18759,0.115454357532553,0
1982-07-01,122,20668,0.114768296055692,0
1982-08-01,122,21040,0.117207430931122,0
1982-09-01,125,18993,0.119076397031248,0
1982-10-01,137,18668,0.117965862171995,0
1982-11-01,138,16768,0.117449127100423,0
1982-12-01,152,16551,0.116988457838933,0
1983-01-01,120,16231,0.11261053571781,0
1983-02-01,95,15511,0.113657015681422,1
1983-03-01,100,18308,0.113144445252379,1
1983-04-01,89,17793,0.118495534815352,1
1983-05-01,82,19205,0.117969401200945,1
1983-06-01,89,19162,0.1176866141183,1
1983-07-01,60,20997,0.120059238961094,1
1983-08-01,84,20705,0.119437745680998,1
1983-09-01,113,18759,0.118881271786551,1
1983-10-01,126,19240,0.118462360710195,1
1983-11-01,122,17504,0.118016598400236,1
1983-12-01,118,16591,0.117706622543368,1
1984-01-01,92,16224,0.117776089941536,1
1984-02-01,86,16670,0.114796991716514,1
1984-03-01,81,18539,0.11573525277085,1
1984-04-01,84,19759,0.115356263024722,1
1984-05-01,87,19584,0.114815360704668,1
1984-06-01,90,19976,0.114777477886645,1
1984-07-01,79,21486,0.114935980147534,1
1984-08-01,96,21626,0.114796991716514,1
1984-09-01,122,20195,0.114093156728444,1
1984-10-01,120,19928,0.116465521799171,1
1984-11-01,137,18564,0.116026113132354,1
1984-12-01,154,18149,0.116066729379379,1
