en,es
I'm looking forward to going to the concert.,Tengo muchas ganas de ir al concierto.
I can speak English.,Yo puedo hablar inglés.
You can find the same thing anywhere.,Puedes encontrar lo mismo en cualquier parte.
It's hard to tell Englishmen from Americans just by the way they look.,Es difícil diferenciar a un inglés de un estadounidense solo por su apariencia.
Croatia is in the southeastern part of Europe.,Croacia está en el sudeste de Europa.
Many fish died.,Murieron muchos peces.
I thought Tom was at school.,Pensé que Tom estaba en el colegio.
Tom gave Mary a nod.,Tom asintió a Mary.
Show me the picture.,¡Enséñame la fotografía!
This man was charged with theft.,Este hombre fue denunciado por robo.
Only a few people didn't go there.,Solo unas pocas personas no fueron.
They've defused the bomb successfully.,Ellos han desactivado la bomba con éxito.
This carpet is beautiful.,Esta alfombra es bonita.
I didn't know you were rich.,No sabía que eras rico.
What kind of meal did you eat?,¿Qué tipo de comida comiste?
I thought we were going to win.,Pensé que íbamos a ganar.
Tom was tired and in a bad mood.,Tom estaba cansado y de mal humor.
Tom doesn't understand what's going on.,Tom no entiende lo que está pasando.
Start counting.,Empieza a contar.
They all looked happy.,Todos lucían felices.
He has no children.,Él no tiene hijos.
Tom said he didn't want to help Mary.,Tom dijo que no quería ayudar a María.
He disclosed to me that he had been in prison.,Él me reveló que había estado en prisión.
Tom seems desperate.,Tom parece estar desesperado.
He had no intention of waiting for three hours.,Él no pretendía quedarse esperando tres horas.
The students are all at their desks now.,Los estudiantes están todos en sus mesas ahora.
She ran very fast to catch up with the other members.,Ella corrió muy rápido para alcanzar a los otros miembros.
Don't be ridiculous!,¡No seas absurdo!
I wonder whether or not Tom is mad.,Me pregunto si Tom está enojado o no.
I speak French as well as she does.,Hablo francés tan bien como ella.
I believe that's correct.,Creo que eso es correcto.
She advised him to do more exercise.,Le aconsejó que hiciera más ejercicio.
I don't really know why.,Realmente no sé por qué.
Tom watched Mary draw a picture.,Tom observó a Mary hacer un dibujo.
Tom isn't a tourist.,Tomás no es un turista.
Do you really want to do this?,¿Realmente querés hacer esto?
Tom is a talented singer.,Tom es un cantante talentoso.
Maybe I shouldn't be so suspicious.,Tal vez yo no debería ser tan desconfiado.
Tom has long hair and wears glasses.,Tom tiene pelo largo y lleva anteojos.
Can you cook a meal?,¿Puedes preparar una comida?
Mary visited her husband in prison.,Mary fue a visitar a su esposo a la cárcel.
This is one of the best places to eat in town.,Es uno de los mejores lugares para comer en la ciudad.
That's unlikely to happen.,Eso es improbable que ocurra.
I wouldn't do it if I were you.,Si yo fuera tú no lo haría.
Tom never knew that.,Tomás nunca supo eso.
Tom and Mary are both coaching John.,"Ambos, Tom y Mary, entrenan a John."
You wait and see.,Espera y verás.
I changed my shirt.,Me cambié de camisa.
He's as poor as can be.,Él es pobre como pocos.
Scientists seem to have known the truth.,Los científicos parecen estar en lo cierto.
Excuse me. What's your name?,Discúlpame. ¿Cuál es tu nombre?
Tom can be reasoned with.,Se puede razonar con Tom.
He can't read it.,Él no puede leerlo.
I want you to come with us tonight.,Quiero que vengas con nosotros esta noche.
Tom helped Mary clean the house.,Tom le ayudó a Mary a limpiar la casa.
I thought Tom was in Boston.,Pensé que Tom estaba en Boston.
Tom came out of his room.,Tom salió de su habitación.
I don't want to see you here again.,No quiero volver a verte aquí.
It's too early to get up.,Es demasiado temprano para levantarse.
You're through.,Terminaste.
I want a piece of cake.,Quiero un trozo de tarta.
You dropped your pencil.,Se te ha caído el lápiz.
Switzerland is a beautiful country worth visiting.,Suiza es un bello país que vale la pena visitar.
Tom watched silently.,Tom vigiló silenciosamente.
He is a wolf in sheep's clothing.,Él es un lobo con piel de cordero.
I'm rather busy.,Estoy bastante ocupado.
Do you have any idea who wrote this book?,¿Tienes alguna idea de quién escribió este libro?
Tom died in 2009.,Tom murió en el 2009.
Why don't you get something to drink?,¿Por qué no buscas algo para beber?
The group is made up of six members.,Ese grupo se compone de seis miembros.
They're able to sing.,Pueden cantar.
I still have the book from last semester.,Todavía tengo el libro desde el semestre pasado.
Tom took a bath last night.,Tom se bañó anoche.
He probably got tired of waiting and fell asleep.,Probablemente se cansó de esperar y se durmió.
Tom said I looked interested.,Tom dijo que yo parecía interesado.
I'd like to know more about Tom.,Quisiera averiguar más sobre Tom.
Have you ever signed a contract?,¿Alguna vez has firmado un contrato?
Where should we meet?,¿Dónde quedamos?
We need to remember to send Tom a birthday card.,Tenemos que acordarnos de enviarle a Tom una tarjeta de cumpleaños.
I love you more than I love any other person.,Te quiero más que a nadie.
Tom is reading a novel by Sidney Sheldon now.,Tom está leyendo una novela de Sidney Sheldon ahora.
I think it's time for me to move to the suburbs.,Creo que es hora de que me mude a los suburbios.
Not many survive this disease.,Pocos sobreviven a esta enfermedad.
Please go on with your story.,"Continúa tu historia, por favor."
Let me do it.,Déjame que lo haga.
Tom and Mary never see each other nowadays.,Tom y Mary nunca se ven el uno al otro estos días.
A local family has offered you a place to stay.,Una familia local se ofrece a alojarte.
They spoke ill of the captain in his absence.,Hablaron mal del capitán en su ausencia.
I've learned a lot.,He aprendido mucho.
I just sold it.,Acabo de venderlo.
I'm really worried about my child.,Estoy muy preocupado por mi hijo.
Tom called Mary.,Tom llamó a Mary.
The impact of science on society is great.,El impacto de la ciencia en la sociedad es grande.
He has powerful arms.,Él tiene poderosos brazos.
I like her very much.,Ella me gusta mucho.
All of them are Canadian.,Todos ellos son canadienses.
"Since I couldn't pay the rent, I asked him for help.","Como no podía pagar el alquiler, le pedí ayuda a él."
You're fun to talk to.,Es agradable charlar contigo.
Those glasses suit you.,Esos lentes se te ven bien.
Tom parked in his usual spot.,Tom se paró donde siempre se para.
Climbing that mountain was a piece of cake.,Escalar aquella montaña fue pan comido.
Who's paying for the gas?,¿Quién va a pagar el combustible?
Do you have an English menu?,¿Tienes un menú en Inglés?
The town where he was brought up lies east of Osaka.,La ciudad donde él se crió está al este de Osaka.
Whose dictionary is this?,¿De quién es este diccionario?
Why did you want to buy them?,¿Por qué querías comprarlos?
My friend is seventeen years old.,Mi amiga tiene diecisiete años.
"I've got something for you, too.",Yo también tengo algo para ti.
I can't stand cowards.,No tolero a los cobardes.
He has to work on his own.,Tiene que trabajar por su cuenta.
You may use my new car.,Puedes usar mi auto nuevo.
Scientists are working hard to put an end to AIDS.,Los científicos están trabajando duro para ponerle fin al SIDA.
I can walk to school in half an hour.,Puedo llegar caminando al colegio en media hora.
Should I fill in this form now?,¿Debo rellenar este formulario ahora?
I want a full report before 2:30.,Quiero un reporte completo antes de las 2:30.
"Hurry up, girls.","¡Apúrensen, muchachas!"
Nobody in the world wants war.,Nadie en el mundo quiere guerra.
I really can't take it anymore.,De verdad no puedo soportarlo más.
It is finally all over.,Finalmente ha terminado.
I knew it would be hard.,Sabía que resultaría duro.
Speak up!,¡Habla más alto!
I quit.,Dimito.
Do you have a TV?,¿Tienes una televisión?
Tom had a weird dream last night.,Anoche Tom tuvo un sueño extraño.
I took a taxi to the airport.,Tomé un taxi al aeropuerto.
The boxer had to lose weight for the title match.,El boxeador tenía que perder peso para la pelea por el título.
I'm writing a letter to Tom now.,Ahora le estoy escribiendo una carta a Tomás.
The man answers the description.,El hombre responde a la descripción.
They told me to stay in the car.,Me dijeron que me quedara en el coche.
I probably won't read Tom's report.,No creo que vaya a leer el informe de Tom.
There is one thing I don't understand.,Hay una cosa que no entiendo.
Portugal has decriminalized the possession of drugs for personal use.,Portugal ha despenalizado la posesión de drogas para propio consumo.
Never mind what he said.,No importa lo que él dijo.
Tom pointed at something on the ground.,Tom señaló algo en el suelo.
The old man sat in the chair with his eyes closed.,El viejo se sentó en la silla con los ojos cerrados.
Stay focused.,Concéntrate.
We were younger then.,Nosotros éramos más jóvenes entonces.
Add a little milk.,Añada un poco de leche.
These measures can prevent the disease from spreading.,Estas medidas pueden impedir la propagación de la enfermedad.
"Hold still for a moment, please.","Estese quieto un momento, por favor."
This is Tom's book.,Este es el libro de Tom.
Do you think it works?,¿Crees que funcione?
That would be funny.,Eso sería divertido.
Give me a kiss.,Dame un beso.
She sat next to him on the bus.,Ella se sentó cerca de él en el autobús.
I think Tom is going to win.,Yo creo que Tom va a ganar.
Would you please lend me a pen?,¿Me dejas un bolígrafo?
She had to do it even though she didn't want to.,Ella tuvo que hacerlo aunque no quería.
Knowing is nothing. Imagination is everything.,"El saber no es nada, la imaginación lo es todo."
Tom's boss is Canadian.,El jefe de Tom es canadiense.
"As far as I know, he's an honest man.",Lo más que sé es que es un hombre honesto.
It's my dream to have a son who'll take over my business when I retire.,Es mi sueño tener un hijo que se haga carga de mi negocio cuando me retire.
I'm not saying that your answers are always wrong.,No digo que tus respuestas siempre sean incorrectas.
Do you mind if I sit down?,¿Podría sentarme aquí?
Tom may take all the time he needs.,Tom se puede tomar todo el tiempo que necesite.
There's nobody in the kitchen.,No hay nadie en la cocina.
He studied the scientists considered to be the most significant of the 19th century.,Él estudió a los científicos considerados como los más significativos del siglo XIX.
I saw something white in the park.,Vi algo blanco en el parque.
Tom ordered a cup of coffee for himself and a cup of cocoa for Mary.,"Tom se pidió una taza de café y, para Mary, una taza de chocolate."
He didn't come on time.,Él no vino a tiempo.
I need to find out exactly what went wrong.,Debo averiguar exactamente qué salió mal.
Tom's parents told him not to get involved with Mary.,Los padres de Tom le dijeron que no se involucre con Mary.
The royal wedding was a magnificent occasion.,La boda real fue un evento magnífico.
She decided to resign her job.,Ella decidió dejar el trabajo.
I caught a big fish yesterday.,Atrapé un gran pez ayer.
We know what you're doing.,Sabemos lo que estáis haciendo.
Tom helped Mary yesterday afternoon.,Tom ayudó a Mary ayer por la tarde.
This coat fits you perfectly.,Este abrigo te queda perfecto.
They both died.,Ambos murieron.
My mother bought my brother a yellow umbrella.,Mi mamá le compró un paraguas amarillo a mi hermano.
I will stay at home.,Me quedaré en casa.
They hate Tom.,Ellos odian a Tom.
I've never flown in an airplane.,Nunca he volado en avión.
We have to do it.,Tenemos que hacerlo.
Is she your mother?,¿Ella es tu madre?
This book is adapted for children.,Este libro está pensado para los niños.
He played the guitar and she played the piano.,Él tocaba la guitarra y ella tocaba el piano.
I've eaten out every day this week.,Esta semana he comido fuera todos los días.
Tom felt trapped.,Tom se sentía atrapado.
There's a lot of furniture in the room.,Hay un montón de muebles en la habitación.
Who did you visit yesterday?,¿A quién visitaste ayer?
That bicycle is mine.,Esa bicicleta es mía.
"What's the plan, Tom?","¿Cuál es el plan, Tom?"
Is the zither a hard instrument to learn?,¿Es la cítara un instrumento difícil de aprender?
"Generally speaking, boys like girls with long hair.",En general a los chicos les gustan las chicas de cabello largo.
Let me try to make this clearer.,Déjame aclararlo más.
Come quickly. It's urgent.,Ven rápido. Es urgente.
Tom likes to stay home and read books on weekends.,A Tom le gusta quedarse en casa y leer libros los fines de semana.
Tom rose to the rank of brigadier before retiring from the army.,Tom ascendió al rango de brigadier antes de retirarse del ejército.
Tom asked Mary if she'd help him.,Tom le preguntó a Mary si acaso lo ayudaría.
No one loves war.,A nadie le gusta la guerra.
They missed Tom.,Extrañaron a Tom.
I can't let you go in there alone.,No puedo dejarte entrar ahí solo.
Who are you voting for?,¿A quién vas a votar?
I just wanted to see how you were doing.,Solo quería ver cómo estabas.
Tom doesn't understand what you want.,Tom no entiende lo que quieres.
She stabbed him with a knife.,Ella lo apuñaló con un cuchillo.
"Before we get started, I'd just like to say a few words about how important this job is.","Antes de que comencemos, me gustaría decir unas palabras acerca de cuán importante es este trabajo."
Tom doesn't think that he has anything to do with the matter.,Tom no cree tener nada que ver con ese asunto.
Don't listen to her.,No la escuches.
Tom was happy.,Tom era feliz.
Tom thinks it's time for Mary to ask for help.,Tom piensa que es hora de que Mary pida ayuda.
I couldn't care less.,Me importa un rábano.
She accepted his offer.,Ella aceptó su propuesta.
The watch I lost the other day was new.,El reloj que se me perdió el otro día era nuevo.
The sisters look like each other.,Las hermanas se parecen la una a la otra.
Tom stepped out of the shower and wrapped a towel around his waist.,Tom salió de la ducha y se puso una toalla alrededor de su cadera.
You should buy it for yourself.,Deberías comprarlo para ti mismo.
I'm resting.,Estoy descansando.
He knows how to play the piano.,Él sabe cómo tocar el piano.
It's easier to make money when you already have some.,Es más fácil hacer dinero cuando ya tienes algo.
I'm pleased to meet you.,Encantada de conocerlo.
Tom thanked me for the gift.,Tom me dio las gracias por el regalo que le di.
That's a very cool idea.,Esa es una idea genial.
Please hurry. We're late already.,Haga el favor de apresurarse; ya llegamos tarde.
Science begins when you ask why and how.,La ciencia comienza cuando uno se pregunta por qué y cómo.
"If we wait for thirty minutes before leaving, we can avoid the rush hour traffic.","Si esperamos a irnos treinta minutos, podemos evitar el tráfico de la hora punta."
Information comes faster than people can process it.,La información viene más rápido de lo que la gente puede procesar.
I have an older brother and two younger sisters.,Yo tengo un hermano mayor y dos hermanas menores.
Who says money can't buy happiness?,¿Quién dijo que el dinero no puede comprar la felicidad?
When was the last time you cried?,¿Cuándo fue la última vez que lloraste?
Tom has hiccups.,Tom tiene hipo.
He is still in bed.,Él aún está en cama.
True friendships last forever.,La amistad verdadera dura por siempre.
You can omit the preposition in this phrase.,Puedes omitir la preposición en esta frase.
The students answered in order.,Los alumnos respondieron en orden.
The police came as soon as they heard the gunfire.,La policía vino en cuanto oyeron el disparo.
Are you sure you want to do that?,¿Estás seguro de que quieres hacer esto?
Everyone gossips.,Todos cotillean.
I think I've seen enough.,Creo que he visto bastante.
We have a black and white dog.,Tenemos un perro blanco y negro.
This is a big step forward.,Este es un gran paso adelante.
Who found her?,¿Quién la encontró?
There was something in the middle of the highway.,Había algo en medio de la autovía.
I have to choose my words very carefully.,Tengo que elegir mis palabras con mucho cuidado.
Does this backpack belong to you?,¿Es tuya esta mochila?
You can't go now.,No te puedes ir ahora.
I'm worn out from hoeing in the vegetable garden all day.,Después de todo el día cavando en la huerta estoy hecho polvo.
Tom thinks that Mary and I can't take care of ourselves.,Tom cree que Mary y yo no podemos apañarnos.
He came home exactly at ten.,Llegó a la casa exactamente a las diez.
Tom is friendly to everybody.,Tom es amistoso con todos.
You never gave in to temptation.,Jamás cedieron a la tentación.
She tore the letter up after reading it.,Ella rompió la carta después de haberla leído.
Students have been protesting against the government's decision.,Los estudiantes han estado protestando en contra de la decisión del gobierno.
Can you hear me?,¿Puedes oírme?
The surgeon forgot something inside the patient.,El cirujano olvidó algo dentro del paciente.
Tom showed Mary the way.,Tom le mostró el camino a Mary.
She drives a BMW.,Ella conduce un BMW.
I have an older brother and a younger sister.,Tengo un hermano mayor y una hermana pequeña.
It's more complicated than that.,Es más complicado que eso.
The teacher said we had to learn all these expressions by heart.,El profesor dijo que teníamos que aprender todas estas expresiones de memoria.
They are both from Australia.,Ambos son de Australia.
Those who choose not to read have no advantage over those who can't read.,Aquellos que eligen no leer no tienen ninguna ventaja sobre aquellos que no saben leer.
She told me not to tell lies.,Ella me dijo que no dijera mentiras.
I want to help you with your homework.,Quiero ayudarte con los deberes.
I thought Tom would appreciate the gift from Mary.,Pensé que Tom apreciaría el regalo de María.
Tom plays organ at our church.,Tom toca el órgano en nuestra iglesia.
It's human nature.,Es la naturaleza humana.
I'm not allowed to tell you.,No tengo permiso para decirte.
Tom went to see Mary three days after that.,Tom fue a ver a Mary tres días más tarde.
"You wanted me to do that, didn't you?",¿A que querías que lo hiciera?
I never speak French.,Nunca hablo francés.
Tom asked Mary if she wanted something to drink.,Tom le preguntó a Mary si quería algo para beber.
I thought you wanted to get married.,Pensé que querías casarte.
I had to go to the hospital.,Tuve que ir al hospital.
Hold on to my arm.,Agárrese de mi brazo.
Tom didn't appear.,Tom no apareció.
She gets up at seven.,Se levanta a las siete.
Tom seldom goes out on Monday.,Tom rara vez sale los lunes.
I can't remember how to use this machine.,No recuerdo cómo se usa esta máquina.
"In times like this, there's nothing like a hair of the dog.","En momentos como este, no hay nada como el pelo de un perro."
Get on the horse.,Súbanse al caballo.
We simply want you to leave.,Sencillamente queremos que te vayas.
I took my shoes off.,Me saqué los zapatos.
Is it money you want?,¿Es dinero lo que querés?
Did you know men can get breast cancer?,¿Sabías que los hombres pueden tener cáncer de mama?
Tom's arm had to be amputated.,A Tom le tuvieron que amputar el brazo.
Tom checks his email before he eats breakfast.,Tom revisa su correo antes de desayunar.
The boy broke the window with a baseball last weekend.,El niño rompió la ventana con una pelota de béisbol el fin de semana pasado.
I'd like to know when you can send it out.,Me gustaría saber cuándo podrás enviarlo.
"When I looked at her, she smiled at me.","Cuando la miré, me sonrió."
His words are meaningless.,Sus palabras no tienen significado.
"As far as I know, he's guilty.","Hasta donde yo sé, él es culpable."
This is the man who's suspected by the police.,Este es el hombre del que sospecha la Policía.
Don't come back again.,No vuelvas nunca más.
They made the pilot fly the Navy helicopter.,Ellos hicieron que el piloto volara el helicóptero de la Marina.
What made you decide to come here now?,¿Qué te ha hecho decidirte por venir ahora aquí?
They won't tell us anything.,Ellas no nos dirán nada.
What's that tall building?,¿Qué es aquel alto edificio?
Tom pointed to the floor near Mary's right foot.,Tom apuntó al suelo cerca del pie derecho de María.
He came home in high spirits.,Él llegó a casa de muy buen humor.
Please put yourself in my place.,"Ponte en mi lugar, por favor."
You've spilled your coffee.,Tú has derramado tu café.
You haven't asked me anything.,No me has preguntado nada.
Tom has high blood pressure.,Tom tiene presión arterial alta.
Stop!,¡Para!
This song seemed appropriate.,Esta canción parecía apropiada.
Don't let anything stand between you and success.,No dejes que nada se interponga entre tú y el éxito.
Are you good at ice skating?,¿Eres bueno en el patinaje sobre hielo?
Tell him not to be late for school.,Dile que no llegue tarde al colegio.
Tom trimmed his beard for the wedding.,Tom recortó su barba para la boda.
What language is spoken in America?,¿En qué idioma se habla en los Estados Unidos?
"When I told him that, he was very much embarrassed.",Cuando se lo dije se azaró mucho.
The farmer sowed his field with wheat.,El granjero sembró su campo con trigo.
Please don't hesitate to ask me any questions.,"Por favor, no duden en hacerme cualquier pregunta."
Mary lied to her husband.,Mary le mintió a su esposo.
I have to hurry!,¡Tengo que apurarme!
They knelt down and prayed that the war would end soon.,Se arrodillaron y rezaron por que la guerra acabase pronto.
They must've made a mistake.,Se tienen que haber equivocado.
Are you getting tired?,¿Te estás cansando?
Let's go to the kitchen.,Vayamos a la cocina.
She has been out of work these two years.,Ella ha estado desempleada estos dos años.
My father smokes.,Mi padre fuma.
Tom will be thrilled.,Tom estará encantado.
Tom had nothing to eat yesterday.,"Ayer, Tom no tenía nada para comer."
"If you betray us, we'll kill you.","Si nos traicionas, te matamos."
This story is in two parts.,Esta historia tiene dos partes.
Do you understand?,¿Entendéis?
I go to work every day.,Voy a trabajar todos los días.
Tom didn't seem to understand the project's purpose.,Tom no parecía comprender el propósito del proyecto.
Everyone survived.,Todos sobrevivieron.
Tom was shot twice in the chest.,A Tom le dispararon dos veces en el torso.
Correct me if I'm wrong.,Corrígeme si me equivoco.
Quality is more important than quantity.,La calidad es más importante que la cantidad.
He speaks ten languages.,Él habla diez lenguas.
He explained the main purpose of the plan.,Él explicó el objetivo principal de ese plan.
Tom is forgetful.,Tom es despistado.
The soldiers march in camouflaged uniforms.,Los soldados marchan con uniformes de camuflaje.
How many planets orbit the sun?,¿Cuántos planetas orbitan el sol?
Can you sleep?,¿Puedes dormir?
"The weather forecast said that it would rain this afternoon, but it didn't.","El pronóstico del clima dijo que llovería esta tarde, pero no fue así."
That scares me.,Eso me da miedo.
Why don't we see if Tom wants to play cards with us?,¿Por qué no vemos si Tom quiere jugar cartas con nosotras?
I think this one is inferior to that in quality.,Yo pienso que éste es inferior a ése en calidad.
Which language is spoken in the United States of America?,¿Qué lengua se habla en los Estados Unidos de América?
I can't recall who said that.,No recuerdo quién dijo eso.
Whose computer is this?,¿De quién es este ordenador?
Who are you?,¿Quién es usted?
You are wanted on the phone.,Te llaman por teléfono.
You haven't lifted a finger.,No moviste un dedo.
What is the basis for the argument?,¿En qué se basa el argumento?
Tom has many powerful friends.,Tomás tiene muchos amigos poderosos.
He has plenty of money in the bank.,Él tiene mucho dinero en el banco.
I saw him scolded by his mother.,Vi como le regañaba su madre.
I dreamed about you.,Soñé contigo.
He didn't give me anything to eat.,No me dio nada para comer.
I never for a moment imagined that I would win.,Nunca me imaginé ni por un momento que yo ganaría.
You are the only one who can protect them.,Eres la única que puede protegerlas.
Tom talked Mary into buying a new computer.,Tom convenció a Mary de comprar un computador nuevo.
We're back.,Hemos vuelto.
Everyone knows.,Todo el mundo lo sabe.
You're a murderer.,Eres un asesino.
It is a curse.,Es una maldición.
You may bring whoever wants to come.,Puedes traer a quien quiera venir.
I'm glad you liked it.,Me alegro de que te guste.
We prepared ourselves for the crash.,Nos preparamos para la colisión.
All you have to do is wait on any customers that come to the shop.,Todo lo que tienes que hacer es esperar a los clientes que vengan a la tienda.
He has wine.,Tiene vino.
Don't you miss that?,¿No echáis eso en falta?
I wouldn't like being a judge.,No me gustaría ser juez.
I owe you a lunch.,Te debo un almuerzo.
The captain controls the whole ship.,El capitán controla toda la nave.
I think your work is very good.,Pienso que tu trabajo es muy bueno.
Tom can speak just a little French.,Tom sólo sabe hablar un poco de francés.
I forgot his address.,He olvidado su dirección.
We've run out of paper for the photocopier.,Nos quedamos sin papel para la fotocopiadora.
Last night I was at home.,Anoche estuve en la casa.
I think it's kind of stupid.,Yo pienso que es medio estúpido.
What's the accusation against him?,¿Cuál es la acusación en su contra?
Don't hide in there.,No te escondas allí dentro.
The experiment seemed to be going well.,El experimento parecía ir marchando bien.
We need more time.,Necesitamos más tiempo.
Not everybody knows about my plan.,No todo el mundo conoce mi plan.
"Just the other day, Tom and Mary came over for a visit.","Tan sólo el otro día, Tom y Mary vinieron de visita."
Summer is the hottest season.,El verano es la temporada más cálida.
Hold your position.,Mantenga su posición.
We weren't at home yesterday.,Ayer no estábamos en casa.
Read after me all together.,Lean todos juntos después de mí.
We talked until two in the morning.,Conversamos hasta las dos de la mañana.
What's in the box?,¿Que es lo que está en la caja?
I teach French.,Enseño francés.
Tom has white hair.,Tom tiene canas.
He cried out for help in a loud voice.,Él gritó fuerte pidiendo ayuda.
I like teaching.,Me gusta enseñar.
Tom won't like this.,A Tom no le gusta esto.
Tom asked Mary to play something on her guitar.,Tom le pidió a Mary que tocara algo con su guitarra.
I am writing a letter now.,Ahora estoy escribiendo una carta.
I forgot his address.,Olvidé su dirección.
"Frankly, I don't like him.","Sinceramente, no me gusta."
Are you guys sorry?,¿Lo sentís?
I need someone to hold me and tell me everything will be all right.,Necesito a alguien que me abrace y que me diga que todo irá bien.
The kids are asleep.,Los niños están dormidos.
Please push the table over this way.,Haga el favor de empujar la mesa hacia aquí.
You've got a pretty good memory.,Tienes una memoria de elefante.
We can let you have it on credit.,Se lo podemos dar fiado.
It wasn't exactly a piece of cake.,No fue exactamente coser y cantar.
I'm indebted to you.,Estoy en deuda con usted.
Carelessness can lead to a serious accident.,La falta de atención puede conducir a un serio accidente.
You know what I like.,Sabes lo que me gusta.
You must do your best.,Debes dar lo mejor.
You should've bought one.,Deberían haber comprado una.
I've never eaten Chinese food before.,Nunca antes había tomado comida china.
She began to like him right away.,A ella empezó a gustarle él de inmediato.
Did you accept his invitation?,¿Aceptaste su invitación?
"The richer he became, the more he wanted.","Cuanto más rico era, más quería serlo."
Both of my brothers are married.,Mis dos únicos hermanos están casados.
Tom is a very strange person.,Tom es una persona muy extraña.
She's been in the hospital for a month.,Ella está en el hospital hace un mes.
You've grown.,Has crecido.
It's best we don't talk to each other anymore.,Es mejor que no nos hablemos más.
Tom hasn't come back from Boston yet.,Tom todavía no ha vuelto de Boston.
Are you a lawyer?,¿Eres tú un abogado?
I want to know the reason.,Quiero saber el motivo.
I asked Tom to drive.,Le pedí a Tom que condujese.
Tom only glanced at the headlines.,Tom solo echó una ojeada a los titulares.
"Without honor, victory is hollow.","Sin honor, la victoria pierde sentido."
I've done a truly stupid thing.,Ha hecho una cosa verdaderamente estúpida.
Tom thinks Mary is really stuck up.,Tom piensa que Mary es realmente presumida.
Tom isn't ready to be a father.,Tom no está preparado para ser padre.
"Whoever gets there first, wins.","La que llegue primero, ganará."
Will you turn on the television?,¿Puedes encender la televisión?
Don't touch the thermostat.,No toque el termostato.
I will give you the money.,Te daré el dinero.
I'm not inspired anymore.,Ya no estoy inspirada.
The epidemic has turned into a pandemic.,La epidemia ya se ha convertido en pandemia.
"Hurry up, Tom.","Apúrate, Tom."
Tom doesn't know about those kinds of things.,Tom no sabe acerca de esas clases de cosas.
"Being very tired, I went to bed early.",Estaba muy cansado así que me fui a dormir temprano.
You can put it there.,Usted puede ponerlo ahí.
I think you're mad.,Creo que estás loca.
What a great idea!,¡Qué gran idea!
Tom isn't Mary's only grandchild.,Tom no es el único nieto de Mary.
I'm glad you accepted my offer.,Me alegro de que hayáis aceptado mi oferta.
Sixty new museums opened.,Se abrieron sesenta nuevos museos.
I knew there was nothing you could do about it.,Yo sabía que no había nada que pudieras hacer al respecto.
