reserva_cancelada,dias_antelacion,adultos,ninos,bebes,regimen_alimenticio,pais_origen,segmento_mercado,canal_distribucion,cliente_repetido,cancelaciones_previas,reservas_previas_no_canceladas,tipo_habitacion_reservada,tipo_habitacion_asignada,cambios_reserva,tipo_deposito,dias_lista_espera,tipo_cliente,precio_medio_diario,plazas_parking_requeridas,peticiones_especiales_totales,estado_reserva,fecha_estado_reserva,fecha_llegada,noches_estancia
0,68,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,97.0,0,3,Check-Out,2015-07-05,2015-07-06,4
0,37,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,97.5,0,0,Check-Out,2015-07-05,2015-07-06,4
0,12,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,88.2,0,0,Check-Out,2015-07-02,2015-07-06,1
0,0,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,Transient,107.42,0,0,Check-Out,2015-07-02,2015-07-06,1
0,7,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,153.0,0,1,Check-Out,2015-07-05,2015-07-06,4
0,37,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,97.29,0,1,Check-Out,2015-07-06,2015-07-06,5
0,72,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,84.67,0,1,Check-Out,2015-07-07,2015-07-06,6
0,72,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,84.67,0,1,Check-Out,2015-07-07,2015-07-06,6
0,72,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,99.67,0,1,Check-Out,2015-07-07,2015-07-06,6
0,127,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,0,Contract,94.95,0,1,Check-Out,2015-07-01,2015-07-06,7
0,78,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.6,1,0,Check-Out,2015-07-08,2015-07-06,7
0,48,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,79.5,0,0,Check-Out,2015-07-08,2015-07-06,7
1,60,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,107.0,0,2,Canceled,2015-05-11,2015-07-06,7
0,77,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,94.0,0,0,Check-Out,2015-07-08,2015-07-06,7
0,99,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,87.3,1,1,Check-Out,2015-07-08,2015-07-06,7
0,118,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient,62.0,0,2,Check-Out,2015-07-15,2015-07-06,14
0,95,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.86,0,0,Check-Out,2015-07-16,2015-07-06,15
1,96,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,108.3,0,2,Canceled,2015-05-29,2015-07-06,10
0,69,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,65.5,0,0,Check-Out,2015-07-08,2015-07-06,6
1,45,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,Canceled,2015-05-19,2015-07-06,4
1,40,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,Canceled,2015-06-19,2015-07-06,4
0,15,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,0,Check-Out,2015-07-06,2015-07-06,4
0,36,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,1,Check-Out,2015-07-06,2015-07-06,4
1,43,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,108.8,0,0,Canceled,2015-05-23,2015-07-06,4
0,70,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,137.0,0,1,Check-Out,2015-07-07,2015-07-06,5
1,45,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,117.81,0,0,Canceled,2015-05-18,2015-07-06,5
0,45,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,79.5,0,0,Check-Out,2015-07-07,2015-07-06,5
0,16,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-07,2015-07-06,5
0,70,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,137.0,0,1,Check-Out,2015-07-07,2015-07-06,5
0,107,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,0,2,Check-Out,2015-07-09,2015-07-06,7
1,47,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,153.0,0,0,Canceled,2015-06-02,2015-07-06,7
0,96,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,58.95,0,1,Check-Out,2015-07-09,2015-07-06,7
0,113,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,2015-07-06,7
0,90,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,0,Contract,82.35,0,0,Check-Out,2015-07-09,2015-07-06,7
0,50,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,0,Transient,119.35,0,1,Check-Out,2015-07-09,2015-07-06,7
0,113,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,2015-07-06,7
0,93,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,56.01,0,0,Check-Out,2015-07-13,2015-07-06,11
0,76,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,110.7,0,0,Check-Out,2015-07-16,2015-07-06,14
0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,88.2,1,0,Check-Out,2015-07-03,2015-07-06,1
0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,147.0,1,0,Check-Out,2015-07-03,2015-07-06,1
0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,107.0,1,2,Check-Out,2015-07-03,2015-07-06,1
0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,147.0,0,0,Check-Out,2015-07-03,2015-07-06,1
0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,117.9,0,2,Check-Out,2015-07-03,2015-07-06,1
0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-03,2015-07-06,1
0,14,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,0,1,Check-Out,2015-07-04,2015-07-06,2
0,10,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,117.81,0,0,Check-Out,2015-07-04,2015-07-06,2
0,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,135.0,1,2,Check-Out,2015-07-04,2015-07-06,2
0,17,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,133.0,0,1,Check-Out,2015-07-05,2015-07-06,3
0,93,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Contract,58.95,0,0,Check-Out,2015-07-05,2015-07-06,3
1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,136.33,0,2,Canceled,2015-06-29,2015-07-06,3
0,10,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,0,Transient,153.0,1,0,Check-Out,2015-07-05,2015-07-06,2
0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,110.5,0,0,Check-Out,2015-07-05,2015-07-06,2
0,51,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,0,Check-Out,2015-07-05,2015-07-06,2
1,71,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.3,0,2,Canceled,2015-06-16,2015-07-06,2
1,63,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.0,0,2,Canceled,2015-06-18,2015-07-06,2
1,62,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,1,Canceled,2015-07-03,2015-07-06,2
1,101,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,1,Canceled,2015-06-12,2015-07-06,2
0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,91.5,0,0,Check-Out,2015-07-05,2015-07-06,2
0,15,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.5,0,0,Check-Out,2015-07-05,2015-07-06,2
1,51,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.3,0,0,Canceled,2015-06-09,2015-07-06,2
0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.9,1,0,Check-Out,2015-07-06,2015-07-06,3
1,48,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,Canceled,2015-05-26,2015-07-06,3
0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,122.0,0,0,Check-Out,2015-07-07,2015-07-06,4
0,72,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,1,0,Check-Out,2015-07-07,2015-07-06,4
0,81,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,85.86,0,0,Check-Out,2015-07-11,2015-07-06,8
0,99,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,58.95,0,0,Check-Out,2015-07-12,2015-07-06,9
1,368,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,55.68,0,0,Canceled,2015-05-19,2015-07-06,10
0,364,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,55.68,0,0,Check-Out,2015-07-13,2015-07-06,10
1,81,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient,124.0,0,1,Canceled,2015-06-09,2015-07-06,10
0,99,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,111.15,0,0,Check-Out,2015-07-13,2015-07-06,10
0,324,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,134.73,0,0,Check-Out,2015-07-17,2015-07-06,14
0,69,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,0,Transient,92.45,0,1,Check-Out,2015-07-17,2015-07-06,14
1,79,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.73,0,2,Canceled,2015-04-15,2015-07-06,21
0,12,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,73.8,0,0,Check-Out,2015-07-04,2015-07-06,1
0,9,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,98.0,1,2,Check-Out,2015-07-04,2015-07-06,1
0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,131.0,0,1,Check-Out,2015-07-04,2015-07-06,1
0,21,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-04,2015-07-06,1
0,9,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,0,Transient,94.71,0,0,Check-Out,2015-07-04,2015-07-06,1
0,109,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,123.0,0,2,Check-Out,2015-07-04,2015-07-06,1
1,109,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,123.0,0,1,Canceled,2015-05-26,2015-07-06,2
1,72,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,1,Canceled,2015-06-29,2015-07-06,2
1,63,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,117.0,0,1,Canceled,2015-05-13,2015-07-06,7
0,63,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,196.54,0,1,Check-Out,2015-07-10,2015-07-06,7
0,101,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,99.3,1,2,Check-Out,2015-07-10,2015-07-06,7
0,102,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,90.95,0,0,Check-Out,2015-07-10,2015-07-06,7
0,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,0,Transient,92.67,0,1,Check-Out,2015-07-07,2015-07-06,3
0,98,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,71.55,1,0,Check-Out,2015-07-07,2015-07-06,3
0,92,1,2.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,96.49,0,2,Check-Out,2015-07-10,2015-07-06,6
0,95,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,85.8,1,2,Check-Out,2015-07-10,2015-07-06,6
0,102,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,96.3,0,1,Check-Out,2015-07-11,2015-07-06,7
1,26,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,163.0,0,0,Canceled,2015-06-09,2015-07-06,7
1,73,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,172.0,0,1,Canceled,2015-05-20,2015-07-06,7
1,102,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.7,0,1,Canceled,2015-04-22,2015-07-06,7
0,115,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,58.95,0,1,Check-Out,2015-07-11,2015-07-06,7
0,102,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,2,Check-Out,2015-07-11,2015-07-06,7
0,86,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,2,Check-Out,2015-07-11,2015-07-06,7
0,78,2,0.0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,0,Transient,139.0,0,2,Check-Out,2015-07-11,2015-07-06,7
0,52,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,67.24,0,0,Check-Out,2015-07-11,2015-07-06,7
0,29,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,116.5,0,1,Check-Out,2015-07-12,2015-07-06,8
1,101,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,96.3,0,1,Canceled,2015-05-12,2015-07-06,8
0,109,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,123.0,0,1,Check-Out,2015-07-12,2015-07-06,8
0,92,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,71.55,0,1,Check-Out,2015-07-14,2015-07-06,10
0,92,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,71.55,0,1,Check-Out,2015-07-14,2015-07-06,10
0,79,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,149.0,0,1,Check-Out,2015-07-14,2015-07-06,10
0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,0,Transient,163.0,1,0,Check-Out,2015-07-05,2015-07-06,1
0,30,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,0,Contract,79.5,0,0,Check-Out,2015-07-05,2015-07-06,1
1,51,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.0,0,0,Canceled,2015-05-29,2015-07-06,1
1,36,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,0,Transient,123.0,0,0,No-Show,2015-07-04,2015-07-06,1
1,73,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,73.8,0,2,Canceled,2015-05-13,2015-07-06,1
1,33,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,113.0,0,0,Canceled,2015-06-16,2015-07-06,1
0,32,4,0.0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,0,Transient,0.0,0,1,Check-Out,2015-07-05,2015-07-06,1
0,8,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-05,2015-07-06,1
0,100,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient-Party,73.8,1,1,Check-Out,2015-07-06,2015-07-06,2
0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.5,0,0,Check-Out,2015-07-06,2015-07-06,2
0,100,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,73.8,0,2,Check-Out,2015-07-06,2015-07-06,2
0,100,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient-Party,73.8,0,1,Check-Out,2015-07-06,2015-07-06,2
0,9,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,88.2,0,1,Check-Out,2015-07-06,2015-07-13,1
1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,0,Canceled,2015-07-01,2015-07-13,1
0,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,0,Transient,85.1,0,0,Check-Out,2015-07-06,2015-07-13,1
0,9,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.0,0,0,Check-Out,2015-07-06,2015-07-13,1
0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,80.1,0,0,Check-Out,2015-07-06,2015-07-13,1
0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,98.0,0,0,Check-Out,2015-07-06,2015-07-13,1
0,9,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.0,1,0,Check-Out,2015-07-06,2015-07-13,1
1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,97.0,0,0,Canceled,2015-07-01,2015-07-13,1
0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,Transient,167.0,0,1,Check-Out,2015-07-06,2015-07-13,1
0,44,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,0,Transient,225.0,2,0,Check-Out,2015-07-07,2015-07-13,2
0,80,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,97.0,1,0,Check-Out,2015-07-07,2015-07-13,2
0,97,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,87.3,0,2,Check-Out,2015-07-09,2015-07-13,4
0,109,2,1.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,85.59,1,2,Check-Out,2015-07-10,2015-07-13,5
0,30,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,Check-Out,2015-07-10,2015-07-13,5
0,64,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,107.0,0,0,Check-Out,2015-07-10,2015-07-13,5
0,39,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,163.0,0,0,Check-Out,2015-07-11,2015-07-13,6
0,90,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.0,0,0,Check-Out,2015-07-11,2015-07-13,6
1,34,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,163.0,0,0,Canceled,2015-06-17,2015-07-13,6
1,93,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,105.5,0,0,Canceled,2015-05-01,2015-07-13,7
0,97,2,2.0,0,HB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,0,Transient,164.2,1,1,Check-Out,2015-07-12,2015-07-13,7
0,29,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,97.29,0,1,Check-Out,2015-07-12,2015-07-13,7
1,101,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.0,0,1,Canceled,2015-03-30,2015-07-13,7
0,27,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,98.4,0,0,Check-Out,2015-07-12,2015-07-13,7
0,8,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,0,Transient,175.0,1,1,Check-Out,2015-07-14,2015-07-13,9
0,82,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,63.6,1,2,Check-Out,2015-07-15,2015-07-13,10
0,94,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,C,3,No Deposit,0,Transient,124.45,1,1,Check-Out,2015-07-15,2015-07-13,10
0,110,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,110.7,0,0,Check-Out,2015-07-16,2015-07-13,11
0,96,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,74.07,0,0,Check-Out,2015-07-19,2015-07-13,14
0,79,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,134.1,0,0,Check-Out,2015-07-19,2015-07-13,14
