pain,mucous_membrane,capillary_refill_time,abdominal_distention,pulse,respiratory_rate,rectal_temp,total_protein,outcome
alert,,less_3_sec,slight,40.0,16.0,38.3,58.0,lived
alert,normal_pink,less_3_sec,none,40.0,,,56.0,lived
,,,,60.0,28.0,36.8,,died
extreme_pain,pale_cyanotic,,moderate,44.0,24.0,38.4,77.0,lived
mild_pain,normal_pink,less_3_sec,slight,,40.0,,70.0,lived
mild_pain,normal_pink,less_3_sec,moderate,44.0,12.0,38.0,65.0,lived
extreme_pain,normal_pink,less_3_sec,none,78.0,30.0,36.5,75.0,lived
alert,bright_pink,less_3_sec,none,56.0,20.0,38.1,70.0,lived
depressed,bright_pink,less_3_sec,slight,54.0,66.0,39.4,6.0,lived
mild_pain,normal_pink,less_3_sec,none,40.0,28.0,38.7,62.0,lived
severe_pain,pale_pink,less_3_sec,moderate,64.0,24.0,38.2,7.5,died
mild_pain,normal_pink,less_3_sec,slight,42.0,68.0,38.0,7.6,lived
extreme_pain,pale_pink,less_3_sec,slight,,,38.7,6.5,lived
severe_pain,,less_3_sec,none,50.0,32.0,37.4,7.9,lived
,normal_pink,less_3_sec,none,49.0,,38.4,7.6,lived
,,,,30.0,12.0,37.8,,died
mild_pain,normal_pink,less_3_sec,slight,88.0,36.0,37.6,6.0,died
depressed,normal_pink,less_3_sec,none,40.0,24.0,37.9,5.7,lived
extreme_pain,pale_cyanotic,more_3_sec,,100.0,,,6.3,died
extreme_pain,pale_pink,less_3_sec,moderate,136.0,48.0,38.1,4.9,died
extreme_pain,pale_pink,more_3_sec,moderate,,,,5.9,died
alert,normal_pink,less_3_sec,severe,48.0,,38.0,,lived
alert,pale_pink,less_3_sec,none,56.0,,38.0,71.0,lived
mild_pain,,less_3_sec,,60.0,32.0,38.0,7.0,lived
depressed,normal_pink,less_3_sec,none,44.0,9.0,38.1,7.3,lived
,bright_red,less_3_sec,,42.0,30.0,36.0,6.8,died
extreme_pain,dark_cyanotic,more_3_sec,severe,120.0,,,4.5,died
alert,normal_pink,more_3_sec,none,48.0,28.0,37.8,5.9,lived
depressed,bright_pink,less_3_sec,moderate,80.0,32.0,,80.0,lived
mild_pain,pale_pink,less_3_sec,severe,48.0,,38.2,71.0,lived
mild_pain,pale_pink,less_3_sec,moderate,44.0,12.0,38.0,6.5,died
depressed,dark_cyanotic,more_3_sec,slight,132.0,,38.3,8.0,lived
alert,,,,48.0,24.0,38.7,63.0,lived
depressed,normal_pink,less_3_sec,slight,44.0,14.0,38.9,64.0,lived
severe_pain,dark_cyanotic,more_3_sec,slight,,,39.3,,died
,pale_cyanotic,more_3_sec,severe,100.0,,,64.0,lived
alert,normal_pink,less_3_sec,slight,48.0,20.0,38.6,7.3,lived
mild_pain,pale_pink,less_3_sec,severe,48.0,40.0,38.8,65.0,lived
alert,pale_cyanotic,less_3_sec,slight,48.0,20.0,38.0,8.3,lived
mild_pain,normal_pink,less_3_sec,slight,52.0,20.0,38.6,6.6,lived
mild_pain,normal_pink,less_3_sec,none,42.0,40.0,38.0,,lived
depressed,bright_pink,less_3_sec,slight,,12.0,,7.5,lived
severe_pain,,,,,,,58.0,lived
,,less_3_sec,,42.0,24.0,38.3,8.5,died
mild_pain,,more_3_sec,slight,60.0,10.0,39.5,56.0,lived
mild_pain,bright_red,more_3_sec,slight,76.0,,38.7,8.0,lived
mild_pain,normal_pink,less_3_sec,none,40.0,18.0,38.3,5.9,lived
mild_pain,normal_pink,less_3_sec,none,44.0,24.0,,6.3,lived
depressed,pale_pink,less_3_sec,slight,104.0,40.0,38.4,8.5,lived
,pale_pink,less_3_sec,none,44.0,20.0,37.5,7.2,lived
mild_pain,bright_red,,moderate,86.0,16.0,39.0,5.8,died
depressed,pale_pink,less_3_sec,moderate,129.0,48.0,38.5,66.0,lived
depressed,bright_red,more_3_sec,moderate,104.0,,,8.6,died
severe_pain,dark_cyanotic,,severe,,,,,died
,,,,,,,,lived
mild_pain,pale_pink,less_3_sec,none,60.0,30.0,38.2,66.0,lived
severe_pain,pale_cyanotic,less_3_sec,,68.0,14.0,,,died
extreme_pain,pale_cyanotic,more_3_sec,severe,60.0,30.0,,70.0,lived
severe_pain,bright_red,more_3_sec,moderate,84.0,30.0,38.4,7.5,died
mild_pain,normal_pink,less_3_sec,slight,48.0,14.0,37.8,7.5,lived
extreme_pain,dark_cyanotic,more_3_sec,severe,,24.0,38.0,7.8,died
depressed,bright_pink,less_3_sec,none,56.0,16.0,37.8,68.0,lived
alert,bright_pink,less_3_sec,none,68.0,32.0,38.2,65.0,lived
,dark_cyanotic,more_3_sec,,120.0,60.0,38.5,,lived
,normal_pink,less_3_sec,none,64.0,90.0,39.3,6.7,lived
mild_pain,normal_pink,less_3_sec,moderate,80.0,30.0,38.4,6.1,lived
,,less_3_sec,none,60.0,,38.5,53.0,lived
depressed,normal_pink,less_3_sec,none,60.0,16.0,38.3,6.0,lived
mild_pain,pale_cyanotic,less_3_sec,none,40.0,8.0,37.1,6.7,lived
severe_pain,normal_pink,less_3_sec,none,100.0,44.0,,4.7,lived
mild_pain,normal_pink,less_3_sec,moderate,48.0,18.0,38.2,74.0,lived
severe_pain,pale_cyanotic,more_3_sec,severe,60.0,48.0,,7.6,died
depressed,bright_pink,less_3_sec,none,88.0,24.0,37.9,56.0,lived
,normal_pink,,slight,44.0,12.0,38.0,64.0,lived
depressed,,more_3_sec,slight,96.0,36.0,38.5,8.5,died
alert,normal_pink,more_3_sec,none,60.0,20.0,38.3,66.0,lived
depressed,bright_pink,less_3_sec,slight,60.0,40.0,38.5,59.0,lived
mild_pain,pale_pink,less_3_sec,moderate,48.0,12.0,37.3,6.6,lived
severe_pain,pale_pink,less_3_sec,moderate,86.0,,38.5,7.4,died
depressed,normal_pink,less_3_sec,none,36.0,9.0,37.2,5.7,lived
severe_pain,pale_pink,less_3_sec,slight,,23.0,39.2,6.6,lived
severe_pain,pale_cyanotic,more_3_sec,moderate,96.0,30.0,38.5,65.0,lived
,,,,,,,8.7,died
mild_pain,normal_pink,less_3_sec,slight,44.0,10.0,37.5,51.0,lived
depressed,bright_pink,less_3_sec,slight,68.0,20.0,37.9,4.0,died
depressed,pale_cyanotic,less_3_sec,severe,86.0,24.0,38.0,5.5,died
mild_pain,bright_pink,more_3_sec,moderate,120.0,30.0,38.9,6.3,lived
,pale_pink,less_3_sec,slight,45.0,12.0,37.6,7.0,lived
alert,normal_pink,less_3_sec,none,56.0,32.0,38.6,7.0,lived
alert,normal_pink,less_3_sec,none,40.0,12.0,37.8,7.0,lived
,,,,,,,,lived
,,more_3_sec,,76.0,18.0,38.0,11.0,lived
mild_pain,pale_cyanotic,less_3_sec,moderate,52.0,28.0,,8.1,lived
depressed,,less_3_sec,moderate,92.0,40.0,38.5,67.0,lived
depressed,pale_cyanotic,less_3_sec,none,112.0,13.0,,6.3,lived
mild_pain,pale_pink,less_3_sec,slight,66.0,12.0,37.7,6.2,lived
mild_pain,normal_pink,less_3_sec,none,50.0,14.0,38.8,58.0,lived
alert,normal_pink,less_3_sec,none,54.0,24.0,38.4,7.2,lived
depressed,bright_red,more_3_sec,moderate,120.0,20.0,39.2,8.8,died
,,,,,,,6.5,lived
,,,,120.0,70.0,38.5,54.0,lived
severe_pain,,less_3_sec,severe,104.0,40.0,38.5,,lived
extreme_pain,dark_cyanotic,less_3_sec,none,92.0,28.0,39.5,6.4,died
,,,,30.0,18.0,38.5,7.7,lived
mild_pain,pale_pink,more_3_sec,moderate,72.0,30.0,38.3,7.0,lived
,pale_pink,less_3_sec,none,48.0,30.0,37.5,8.6,lived
severe_pain,bright_red,less_3_sec,none,52.0,24.0,38.1,7.5,died
mild_pain,normal_pink,less_3_sec,slight,42.0,26.0,38.2,6.9,lived
mild_pain,bright_red,less_3_sec,none,54.0,42.0,37.9,54.0,lived
extreme_pain,pale_cyanotic,more_3_sec,severe,90.0,30.0,38.0,6.1,died
alert,bright_pink,less_3_sec,none,52.0,16.0,38.2,8.1,lived
extreme_pain,pale_cyanotic,less_3_sec,moderate,36.0,32.0,,5.9,died
,,more_3_sec,moderate,92.0,20.0,38.4,,lived
depressed,bright_pink,less_3_sec,severe,124.0,88.0,38.2,8.0,lived
extreme_pain,pale_pink,more_3_sec,severe,96.0,,,,died
severe_pain,pale_pink,less_3_sec,severe,68.0,32.0,37.6,7.2,lived
extreme_pain,pale_cyanotic,less_3_sec,moderate,88.0,24.0,38.1,4.6,died
severe_pain,pale_cyanotic,less_3_sec,moderate,108.0,60.0,38.0,,lived
mild_pain,normal_pink,more_3_sec,none,48.0,,38.2,6.6,lived
alert,bright_pink,less_3_sec,none,42.0,18.0,36.6,7.1,died
depressed,bright_pink,less_3_sec,severe,124.0,36.0,38.8,7.6,died
extreme_pain,pale_cyanotic,more_3_sec,slight,112.0,24.0,,5.3,lived
severe_pain,pale_pink,less_3_sec,severe,80.0,,,70.0,lived
severe_pain,normal_pink,less_3_sec,moderate,184.0,84.0,38.8,3.3,died
,pale_cyanotic,less_3_sec,,96.0,28.0,38.7,9.0,died
depressed,normal_pink,less_3_sec,slight,52.0,12.0,37.5,61.0,lived
depressed,normal_pink,less_3_sec,none,72.0,42.0,40.8,7.4,died
severe_pain,normal_pink,less_3_sec,slight,40.0,25.0,38.0,69.0,lived
alert,normal_pink,less_3_sec,slight,48.0,16.0,38.4,6.5,lived
,,,,88.0,28.0,38.6,5.9,lived
severe_pain,pale_pink,more_3_sec,slight,75.0,36.0,37.1,7.4,died
mild_pain,bright_pink,less_3_sec,moderate,44.0,21.0,38.3,6.5,lived
mild_pain,pale_pink,less_3_sec,slight,68.0,20.0,38.6,6.5,lived
depressed,bright_pink,less_3_sec,slight,54.0,18.0,38.3,7.2,lived
,normal_pink,less_3_sec,,42.0,20.0,38.2,60.0,lived
,normal_pink,less_3_sec,none,64.0,90.0,39.3,6.7,lived
mild_pain,normal_pink,less_3_sec,slight,60.0,50.0,37.5,6.5,died
extreme_pain,dark_cyanotic,less_3_sec,none,80.0,,37.7,55.0,lived
extreme_pain,pale_cyanotic,more_3_sec,severe,100.0,30.0,,6.6,lived
extreme_pain,pale_pink,less_3_sec,moderate,120.0,28.0,37.7,7.0,died
extreme_pain,dark_cyanotic,more_3_sec,slight,150.0,50.0,38.8,6.2,died
alert,pale_pink,less_3_sec,slight,50.0,40.0,36.9,6.5,lived
alert,normal_pink,less_3_sec,none,40.0,16.0,37.8,6.8,lived
depressed,normal_pink,less_3_sec,moderate,56.0,40.0,38.2,7.2,lived
alert,normal_pink,,,48.0,12.0,38.6,67.0,lived
depressed,bright_red,less_3_sec,none,78.0,,40.0,6.5,died
depressed,bright_red,more_3_sec,slight,70.0,16.0,,7.5,died
,,,,72.0,18.0,38.2,6.4,lived
mild_pain,normal_pink,less_3_sec,none,54.0,,38.5,6.8,lived
mild_pain,normal_pink,less_3_sec,none,66.0,24.0,38.5,6.7,lived
,,less_3_sec,,84.0,30.0,39.5,5.0,lived
,,,,,,,,lived
mild_pain,normal_pink,less_3_sec,slight,50.0,36.0,38.0,6.6,lived
alert,bright_pink,less_3_sec,,45.0,16.0,38.6,58.0,lived
depressed,pale_pink,less_3_sec,moderate,80.0,44.0,38.9,6.5,died
severe_pain,bright_pink,less_3_sec,moderate,66.0,20.0,37.0,6.9,died
depressed,normal_pink,less_3_sec,none,40.0,16.0,38.5,67.0,lived
severe_pain,pale_cyanotic,less_3_sec,moderate,72.0,30.0,37.5,6.8,died
mild_pain,pale_pink,less_3_sec,moderate,100.0,24.0,36.5,6.0,lived
